,Date,Company,Title,City,Region,Country,Level,Type,Requirements,Industry,Link
0,2022-04-21,Robert Half,Data Analyst, Sydney, New South Wales, Australia , Entry level,Full-time ,The Company  Our client is a leading company that prides itself on providing a workplace where the best people come to do their best work. Ongoing growth has created an exciting opportunity for your skills as a data analyst  and your rewards include a vibrant workplace with a strong sense of community and inclusion  and a career where you can make a difference by collaborating with  and learning from  the best.  The Role  You will be responsible for delivery of data analysis  reports  and dashboards to support business operations through the company. Your technical skill will apply throughout the entire business intelligence development life cycle though with a primary focus on report development and user support.  Your Skills & Experience Degree in Computer Science or related field. Excellent experience in data analysis or proven equivalent competency gained through any other combination of education  training or experience. Extensive experience working directly with users  helping them understand how to harness the power of business intelligence  and efficiently build prototypes to demonstrate dashboard and reporting requests through data modelling  designing  and implementing a data warehouse. A thorough knowledge of report building. About You  You relish a fast-paced  dynamic environment - in fact  some of your best work has been completed under pressure. You have brilliant technical skills but you're also a keen collaborator who can partner with a range of team members to work collaboratively across the organisation. You have an enquiring mind that lets you analyse data quickly and effectively  and your outstanding communication skills mean you are able to convey your findings to a wide range of colleagues.  What's on offer? An exceptional work environment where your skill set can be expanded and your career set on a fast track. The support of a passionate and talented IT team. A creative workplace where innovation and initiative is valued. Ongoing training and development to help you reach your full potential. A dynamic company that supports work-life balance. Robert Half Ltd is committed to equal opportunity and we value diversity at our company. We do not discriminate on the basis of categories protected under local law., Staffing and Recruiting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
1,2022-04-20,Commonwealth Bank,Expression of Interest – Analytics Teams, Sydney, New South Wales, Australia , Entry level,Full-time ,We have a number of new and exciting roles opening up in the Analytics teams at CommBank.  Apply now to join the Analytics community at CommBank and we will reach out to you when suitable roles open that match your skills.  See yourself in our team  The Analytics teams aspires to be the best analytics team in the world at engaging customers and delivering value for the organisation.  We are the pioneers of leveraging Next Best Action Marketing decisioning technology and the Group’s data to anticipate and meet our customers’ needs in an orchestrated  consistent and meaningful manner. You are passionate about all things data related with a positive attitude and collaborative approach We are a values-driven organization who believe in the power of proof and constant learning Together we can lead the delivery of world-class data  analytics and technology capabilities to improve the financial wellbeing of our customers and communities and really make a difference Do work that matters  Our teams deliver competitive advantage by working closely with the business and delivery team to help drive insights in Next Best Conversations.  These role are critical in ensuring CBA is effective in identifying events at every touch point in which a customer or prospect interacts with CBA. We achieve success by working with internal stakeholders to define and deliver engaging and relevant responses to those events through leads and customer contact  For these roles  we would like to hear from you if you have the following: Exceptional communication and stakeholder engagement skills with the ability to multi-task  prioritise and execute multiple concurrent activities and priorities. Demonstrated Data and Analytics background with experience/ability to work in an agile environment Ability to work and drive outcomes in a virtual team including cross functional skills A keen eye for detail with excellent numerate and logical reasoning skills Good understanding of SQL and dealing with large and complex data sets Thank you for your interest in CBA. If you would be interested in hearing more please apply and our sourcing team will be in contact.  The health and safety of our people  customers and communities is our number one priority. This means that we require all of our employees to be fully vaccinated against COVID-19. Please speak to us if you have any questions about this based on your individual circumstances.  We look forward to hearing from you!  If you're already part of the Commonwealth Bank Group (including Bankwest)  you'll need to apply through Sidekick to submit a valid application. We’re keen to support you with the next step in your career.  We're aware of some accessibility issues on this site  particularly for screen reader users. We want to make finding your dream job as easy as possible  so if you require additional support please contact HR Direct on 1800 989 696.  Advertising End Date: 28/04/2022, Financial Services,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
2,2022-04-18,TELUS International,Online Data Analyst - Australia, Sydney, New South Wales, Australia , Entry level, Part-time ,Posted by Bea Angelique Ramada Sourcing Specialist Send InMail Part time  Independent Contractor  Work from Home Opportunity  The Role – Online Data Analyst  Company Info: We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text  images  audio  video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products  to better search results  to expanded speech recognition  to more human-like bot interactions and so much more.  Learn more at http://www.telusinternational.com  Position Open: The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.  Ideal Candidate: Candidates for this position will need to have good research skills and a strong understanding of local and national information. Cultural  geographical  social media and current affairs knowledge are important in this role.  Job Requirements:  Fluency in English essential. You must be living in Australia for the last 2 consecutive years Working knowledge of local and national geographical areas You must pass an open book online evaluation to demonstrate capability of reading and applying the guidelines Experience/know-how of using online maps  search engines and website research You must have familiarity with current and historical business  media  sport  news  social media and cultural affairs in the Australia Access to and use of a broadband internet connection and associated computer and software to perform the work  all provided at your own expense   Benefits:  Flexible Hours to work around home life Better Work-Life Balance Remote work & Location Independence Positive Environmental Impact Be your own boss Part of an online community Access to our community wellbeing initiative  What’s next? Don’t Delay! Submit your application through the following link and a member of our team will review your application:  https://jobs.telusinternational.com/en_US/careers/PipelineDetail/Online-Data-Analyst-Australia/21428  Important notice: TELUS International will never request a monetary deposit for any role or project with the company  and our recruitment and sourcing teams only use @telusinternational.com or @telusinternational.ai addresses when emailing candidates. If you are unsure as to whether a job offer is legitimate  please contact us at TI_AICommunitySupport@telusinternational.com for confirmation., IT Services and IT Consulting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
3,2022-04-21,The University of Queensland,Biostatistician, Brisbane, Queensland, Australia , Associate,Full-time ,Centre for Health Service Research HEW 7 Fixed-term position for up to 2 years Closing date: Sunday 15th May 2022 at 11:00pm AEST UQ Careers: R-00732 About This Opportunity  This position offers an opportunity to work on clinical trials alongside internationally renowned clinician-researchers in kidney disease and biostatisticians developing innovative clinical trial methodology. The Biostatistician works as a member of a team of statisticians to provide advice on statistical aspects of clinical trials  develop statistical programs for analysis and presentation of trial results  contribute to methodological research relevant to the design and analysis of clinical trials  and provide statistical advice and education to the wider kidney disease research community.  Key responsibilities will include:  Working as part of a multidisciplinary research team  provide statistical advice and analytic support across various clinical trials  and collaborate with colleagues and postgraduate students in the development of joint research projects Contribute to the development of study protocols  data collection forms  funding applications  and manuscripts for publication Prepare statistical analysis plans  statistical reports for Data and Safety Monitoring Board (DSMB) meetings  and final statistical reports Participate in trial steering committee and trial management group meetings Write  document and review statistical programs for processing and statistical analysis of data and presentation of results in tables and figures Perform administrative functions associated with the statistical aspects of clinical trial operations  including writing and review of standard operating procedures and work instructions Collaborate on methodological research relevant to the design and analysis of clinical trials Contribute to the development and delivery of presentations and workshops on statistics and clinical trial methodology This role is subject to The University's Code of Conduct.  About You  A qualification in statistics or biostatistics with subsequent experience in this field or an equivalent combination of relevant experience and/or education/training Applied knowledge of the design and analysis of clinical trials and observational studies Demonstrated expertise in the use of SAS and/or R statistical software Experience as a statistical consultant in a research environment or other experience teaching statistics to scientists and clinicians Strong interpersonal and written and oral communication skills Ability to work independently and collaboratively in a multidisciplinary team environment An interest in developing clinical trials methodology What We Can Offer  This is a full-time  fixed-term position for up to 2 years at HEW 7.  The full-time equivalent base salary will be in the range $88 763.14 - $96 783.71 plus super of up to 17%. The total FTE package will be in the range $103 852.87 - $113 236.94 per annum.  For further information about UQ's benefits  please visit Why Work at UQ and review The University of Queensland's Enterprise Bargaining Agreement 2018 - 2021.   Questions?  To discuss this role please contact Ms Elaine Pascoe at e.pascoe@uq.edu.au  For application queries  please contact recruitment@uq.edu.au stating the job reference number in the subject line.   Want to Apply?  All applicants must upload the following documents in order for your application to be considered:  Cover letter addressing the 'About You' section Resume Please note that you will be asked to add all documents into the one upload box during the application form.  About The Selection Process   To satisfy pre-requisite questions and ensure your application can be considered in full  all candidates must apply via the UQ Careers portal by the job closing deadline or will not be accepted.   Other Information  Work Rights: You must have unrestricted work rights in Australia for the duration of this appointment to apply. Visa sponsorship is not available for this appointment.  Background Checks: All final applicants for this position may be asked to consent to a criminal record check. Please note that people with criminal records are not automatically barred from applying for this position. Each application will be considered on its merits.   We value diversity and inclusion  and actively encourage applications from those who bring diversity to the University. Our Diversity and Inclusion webpage contains further information if you require additional support. Accessibility requirements and/or adjustments can be directed to recruitment@uq.edu.au.  If you are a current employee of the University  or hold an unpaid or affiliate appointment with the University  please login to your staff Workday account and visit the internal careers board to apply for this opportunity. Please do NOT apply via the external job board., Higher Education,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
4,2022-04-13,TELUS International,Online Data Analyst - Australia,,, Australia , Entry level, Contract ,Posted by Bea Angelique Ramada Sourcing Specialist Send InMail Part time  Independent Contractor  Work from Home Opportunity  The Role – Online Data Analyst  Company Info: We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text  images  audio  video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products  to better search results  to expanded speech recognition  to more human-like bot interactions and so much more.  Learn more at http://www.telusinternational.com  Position Open: The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.  Ideal Candidate: Candidates for this position will need to have good research skills and a strong understanding of local and national information. Cultural  geographical  social media and current affairs knowledge are important in this role.  Job Requirements:  Fluency in English essential. You must be living in Australia for the last 2 consecutive years Working knowledge of local and national geographical areas You must pass an open book online evaluation to demonstrate capability of reading and applying the guidelines Experience/know-how of using online maps  search engines and website research You must have familiarity with current and historical business  media  sport  news  social media and cultural affairs in the Australia Access to and use of a broadband internet connection and associated computer and software to perform the work  all provided at your own expense   Benefits:  Flexible Hours to work around home life Better Work-Life Balance Remote work & Location Independence Positive Environmental Impact Be your own boss Part of an online community Access to our community wellbeing initiative  What’s next? Don’t Delay! Submit your application through the following link and a member of our team will review your application: https://jobs.telusinternational.com/en_US/careers/PipelineDetail/Online-Data-Analyst-Australia/21428  Important notice: TELUS International will never request a monetary deposit for any role or project with the company  and our recruitment and sourcing teams only use @telusinternational.com or @telusinternational.ai addresses when emailing candidates. If you are unsure as to whether a job offer is legitimate  please contact us at TI_AICommunitySupport@telusinternational.com for confirmation., IT Services and IT Consulting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
5,2022-04-20,TELUS International,WORK FROM HOME (AUSTRALIA) ONLINE DATA ANALYST,,, Australia ,,Part-time,Position Open: The Role – Online Data Analyst The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.  Ideal Candidate: Candidates for this position will need to have good research skills and a strong understanding of local and national information. Cultural  geographical  social media and current affairs knowledge are important in this role.  Job Requirements: • Fluency in English essential. • You must be living in Australia for the last 2 consecutive years • Working knowledge of local and national geographical areas • You must pass an open book online evaluation to demonstrate capability of reading and applying the guidelines • Experience/know-how of using online maps  search engines and website research • You must have familiarity with current and historical business  media  sport  news  social media and cultural affairs in the Australia • Access to and use of a broadband internet connection and associated computer and software to perform the work  all provided at your own expense  Benefits:  • Flexible Hours to work around home life • Better Work-Life Balance • Remote work & Location Independence • Positive Environmental Impact • Be your own boss • Part of an online community • Access to our community wellbeing initiative  LINK TO APPLY FOR THE ROLE:  https://jobs.telusinternational.com/en_US/careers/PipelineDetail/Online-Data-Analyst-Australia/21428, IT Services and IT Consulting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
6,2022-03-04,KPMG Australia,Data & Analytics RA3D - Expression of interest - Consultant to Manager, Sydney, New South Wales, Australia ,,Full-time,KPMG Australia is part of a global network providing extensive services across a wide range of industries and sectors. Our people collaborate  share their expertise and create innovation as we partner with clients to solve complex challenges  empower change  drive disruption and growth. We look for talented people with the potential to make an extraordinary difference for our clients  our firm  and our communities.  Our national Risk Assurance Data and Digital Deployment (RA3D) team are seeking some excellent people to join our rapidly growing team. We are an inclusive and dynamic team committed to driving innovation  delivering client outcomes  and making an impact. The strength of our team lies in the diversity of the background and skillset of each member  fostered in a collaborative environment.  Our vision is to provide our clients with on-demand  fit-for-purpose  Data & Analytics services to support their assurance needs.  Our RA3D team work closely with other service lines within KPMG’s Risk Assurance division to support the delivery of complex and data driven solutions to help clients create value and facilitate data-driven risk-based business decisions.  Key Responsibilities  You will work and be supported by a team with deep experience in delivering data-led engagements for a wide range of clients. Your role will include Managing and executing multiple activities  projects or components of larger scale programs and delivers high quality services on time within budget. Building effective relationships with executive clients and sponsors. Effetely manages and maintains contact with internal and external stakeholders to understand business needs and clearly articulate the approach and insights for data-led engagements. Lead the planning and delivery for a portfolio of projects  including supervising junior team members in the delivery of a project. Actively participate in sales pursuits and business development opportunities. Use analytical and visualisation tools to transform  analyse and visualise client data to help clients solve business problems and facilitate and inform decision making. Translate complex technical concepts into meaningful insights for businesses to understand. Assist in the growth of data analytics capability across the Risk Assurance team more broadly.   How are you Extraordinary?  The successful applicant will possess the following characteristics Highly experienced in use of Alteryx  Tableau  Power BI  SQL  Python. Also  but not mandatory  it would be well regarded to have some exposure with other analytic tools or coding languages beneficial  e.g. Celonis  Qlik  R  etc. Be a critical thinker with strong analytical  problem-solving skills  highly organised with the ability to effectively manage multiple priorities and projects. Have an ability to interpret findings and identify key insights to communicate to a non-technical audience Exposure to varied industry sectors including any or all of the following – Energy and Natural Resources  Government  Retail or Financial Services working in an analyst capacity. Tertiary qualification(s)  preferably Commerce Economics Mathematics/Statistics Data science Engineering The ability to engage with clients and develop meaningful relationships to aid in business development   The KPMG Difference  Our people are focused on creating a diverse and dynamic environment that embraces and values differences. We value the variety of unique experiences  qualities and characteristics our people possess  and we share and learn from each other.  We are proud to be consistently recognized as an employer of choice for women  and for our achievements in LGBT+ workplace inclusion.  Our commitment to ‘Flexibility’ allows our people to manage the changing demands of work  personal or family life. Explore the links below to hear our people share their experience @ KPMG  Flexibility empowers wellbeing  Flexibility enables contribution to the community  Flexibility inspires technology & innovation  Flexibility supports family  Make KPMG the clear choice for your career and be Extraordinary!, Business Consulting and Services,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
7,2022-04-15,Randstad Australia,Data Analyst, Melbourne, Victoria, Australia ,,Full-time,"12 weeks PAID Holiday per year! Community Culture 30 Hours per week (0.8FTE) The Opportunity  This leading College is seeking a Data Analyst to join their team and play a lead role in empowing the staff around you by drawing key insights and presenting data in an intuative manner to lead strategic decisions. You will be met with a fantastic culture with long tenure  committed to empowering their school community to thrive. Enjoy many team events such as celebrations  dinners  morning teas  wellbeing week and more.  Key Skills  The ideal candidate will have  Experience developing SQL Queries Experience developing Power BI reports Knowlegde of SSRS (not essential) Experience within an education environemt a bonus  but not essential Interested to apply?  If you are interested in this opportunity  simply click ""APPLY"" and be sure to attach an updated copy of your CV.  If you know someone who may also be interested  please share this opportunity with them.  We look forward to being in touch with you shortly.  --  At Randstad  we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.", Staffing and Recruiting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
8,2022-03-31,Hays,Data Analyst - Health Analytics, Sydney, New South Wales, Australia , Entry level,Full-time ,12 Month Fixed Term Opportunity Salary up to $120 000 per annum plus 15% super Engaging team environment Are you on the look out for your next data analytics opportunity in health?  Your new company  A leading health agency responsible for the development and management of a range of critical systems that provide clinical analytics.  Your new role  You will be working as part of an engaging and highly focused team  collaborating to provide industry analytics and insights. You will contribute to the development and implementation of a robust data modelling strategy.  What you'll need to succeed   Experience in statistical analysis and statistical model development. Strong data analytical skills  with programming experience in both Python and R. Experience using SAS  SQL and Microsoft Excel will be highly regarded  Ability to adopt a pragmatic approach to analyse and deliver results accordingly  Experience in conducting data analysis to support decisions and outcomes that are also influenced by policies and stakeholder input  Critical thinking skills  including the ability to assess the quality and applicability of complex analysis and modelling  What you'll get in return   12 month fixed term contract Up to $120 000 plus 15% Super Engaging team environment  What you need to do now If you're interested in this role  click 'apply now' to forward an up-to-date copy of your CV  or call us now. If this job isn't quite right for you but you are looking for a new position  please contact us for a confidential discussion on your career.  SA Licence number : LHS 297508, Staffing and Recruiting,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
9,2022-04-21,KPMG Australia,Data & Analytics RA3D - Expression of interest - Consultant to Manager, Perth, Western Australia, Australia ,,Full-time,KPMG Australia is part of a global network providing extensive services across a wide range of industries and sectors. Our people collaborate  share their expertise and create innovation as we partner with clients to solve complex challenges  empower change  drive disruption and growth. We look for talented people with the potential to make an extraordinary difference for our clients  our firm  and our communities.  Our national Risk Assurance Data and Digital Deployment (RA3D) team are seeking some excellent people to join our rapidly growing team. We are an inclusive and dynamic team committed to driving innovation  delivering client outcomes  and making an impact. The strength of our team lies in the diversity of the background and skillset of each member  fostered in a collaborative environment.  Our vision is to provide our clients with on-demand  fit-for-purpose  Data & Analytics services to support their assurance needs.  Our RA3D team work closely with other service lines within KPMG’s Risk Assurance division to support the delivery of complex and data driven solutions to help clients create value and facilitate data-driven risk-based business decisions.  Key Responsibilities  You will work and be supported by a team with deep experience in delivering data-led engagements for a wide range of clients. Your role will include Managing and executing multiple activities  projects or components of larger scale programs and delivers high quality services on time within budget. Building effective relationships with executive clients and sponsors. Effetely manages and maintains contact with internal and external stakeholders to understand business needs and clearly articulate the approach and insights for data-led engagements. Lead the planning and delivery for a portfolio of projects  including supervising junior team members in the delivery of a project. Actively participate in sales pursuits and business development opportunities. Use analytical and visualisation tools to transform  analyse and visualise client data to help clients solve business problems and facilitate and inform decision making. Translate complex technical concepts into meaningful insights for businesses to understand. Assist in the growth of data analytics capability across the Risk Assurance team more broadly.   How are you Extraordinary?  The successful applicant will possess the following characteristics Highly experienced in use of Alteryx  Tableau  Power BI  SQL  Python. Also  but not mandatory  it would be well regarded to have some exposure with other analytic tools or coding languages beneficial  e.g. Celonis  Qlik  R  etc. Be a critical thinker with strong analytical  problem-solving skills  highly organised with the ability to effectively manage multiple priorities and projects. Have an ability to interpret findings and identify key insights to communicate to a non-technical audience Exposure to varied industry sectors including any or all of the following – Energy and Natural Resources  Government  Retail or Financial Services working in an analyst capacity. Tertiary qualification(s)  preferably Commerce Economics Mathematics/Statistics Data science Engineering The ability to engage with clients and develop meaningful relationships to aid in business development   The KPMG Difference  Our people are focused on creating a diverse and dynamic environment that embraces and values differences. We value the variety of unique experiences  qualities and characteristics our people possess  and we share and learn from each other.  We are proud to be consistently recognized as an employer of choice for women  and for our achievements in LGBT+ workplace inclusion.  Our commitment to ‘Flexibility’ allows our people to manage the changing demands of work  personal or family life. Explore the links below to hear our people share their experience @ KPMG  Flexibility empowers wellbeing  Flexibility enables contribution to the community  Flexibility inspires technology & innovation  Flexibility supports family  Make KPMG the clear choice for your career and be Extraordinary!, Business Consulting and Services,https://www.linkedin.com/feed/?doFeedRefresh=true&nis=true
